Date and Time Run #1,Time (s) Run #1,Position (m) Run #1,Force (N) Run #1,Speed (mm/min) Run #1,Date and Time Run #2,Time (s) Run #2,Position (m) Run #2,Force (N) Run #2,Speed (mm/min) Run #2,Date and Time Run #3,Time (s) Run #3,Position (m) Run #3,Force (N) Run #3,Speed (mm/min) Run #3,Date and Time Run #4,Time (s) Run #4,Position (m) Run #4,Force (N) Run #4,Speed (mm/min) Run #4,Date and Time Run #5,Time (s) Run #5,Position (m) Run #5,Force (N) Run #5,Speed (mm/min) Run #5,Date and Time Run #6,Time (s) Run #6,Position (m) Run #6,Force (N) Run #6,Speed (mm/min) Run #6
03/04/2024 17:10:35,3.1,0,6,0,03/04/2024 17:11:12,3.1,0,9,0,03/04/2024 17:11:57,3.1,0,17,0,03/04/2024 17:12:42,3.1,0,18,0,03/04/2024 17:13:28,3.1,0,24,0,03/04/2024 17:14:14,3.1,0,21,0
03/04/2024 17:10:35,3.2,0,6,0,03/04/2024 17:11:12,3.2,0,9,0,03/04/2024 17:11:57,3.2,0,16,0,03/04/2024 17:12:42,3.2,0,18,0,03/04/2024 17:13:28,3.2,0,24,0,03/04/2024 17:14:14,3.2,0,20,0
03/04/2024 17:10:35,3.3,0,6,0,03/04/2024 17:11:12,3.3,0,9,0,03/04/2024 17:11:57,3.3,0,16,0,03/04/2024 17:12:42,3.3,0,18,0,03/04/2024 17:13:28,3.3,0,24,0,03/04/2024 17:14:14,3.3,0,16,0
03/04/2024 17:10:35,3.4,0,6,0,03/04/2024 17:11:12,3.4,0,9,0,03/04/2024 17:11:57,3.4,0,16,0,03/04/2024 17:12:42,3.4,0,17,0,03/04/2024 17:13:28,3.4,0,24,0,03/04/2024 17:14:14,3.4,0,11,0
03/04/2024 17:10:35,3.5,0,6,0,03/04/2024 17:11:12,3.5,0,9,0,03/04/2024 17:11:57,3.5,0,16,0,03/04/2024 17:12:42,3.5,0,18,0,03/04/2024 17:13:28,3.5,0,24,0,03/04/2024 17:14:14,3.5,0,20,0
03/04/2024 17:10:35,3.6,0,6,0,03/04/2024 17:11:12,3.6,0,9,0,03/04/2024 17:11:57,3.6,0,16,0,03/04/2024 17:12:42,3.6,0,18,0,03/04/2024 17:13:28,3.6,0,24,0,03/04/2024 17:14:14,3.6,0,22,0
03/04/2024 17:10:35,3.7,0,6,0,03/04/2024 17:11:12,3.7,0,9,0,03/04/2024 17:11:57,3.7,0,16,0,03/04/2024 17:12:42,3.7,0,18,0,03/04/2024 17:13:28,3.7,0,23,0,03/04/2024 17:14:14,3.7,0,20,0
03/04/2024 17:10:35,3.8,0,6,0,03/04/2024 17:11:12,3.8,0,9,0,03/04/2024 17:11:57,3.8,0,16,0,03/04/2024 17:12:42,3.8,0,17,0,03/04/2024 17:13:28,3.8,0,24,0,03/04/2024 17:14:14,3.8,0,20,0
03/04/2024 17:10:35,3.9,0,6,0,03/04/2024 17:11:12,3.9,0,9,0,03/04/2024 17:11:57,3.9,0,16,0,03/04/2024 17:12:42,3.9,0,17,0,03/04/2024 17:13:28,3.9,0,24,0,03/04/2024 17:14:14,3.9,0,21,0
03/04/2024 17:10:36,4,0,6,0,03/04/2024 17:11:13,4,0,9,0,03/04/2024 17:11:58,4,0,16,0,03/04/2024 17:12:43,4,0,18,0,03/04/2024 17:13:29,4,0,24,0,03/04/2024 17:14:15,4,0,21,0
03/04/2024 17:10:36,4.1,0,6,0,03/04/2024 17:11:13,4.1,0,9,0,03/04/2024 17:11:58,4.1,0,16,0,03/04/2024 17:12:43,4.1,0,18,0,03/04/2024 17:13:29,4.1,0,23,0,03/04/2024 17:14:15,4.1,0,20,0
03/04/2024 17:10:36,4.2,0,6,0,03/04/2024 17:11:13,4.2,0,9,0,03/04/2024 17:11:58,4.2,0,16,0,03/04/2024 17:12:43,4.2,0,18,0,03/04/2024 17:13:29,4.2,0,24,0,03/04/2024 17:14:15,4.2,0,20,0
03/04/2024 17:10:36,4.3,0,6,0,03/04/2024 17:11:13,4.3,0,8,0,03/04/2024 17:11:58,4.3,0,15,0,03/04/2024 17:12:43,4.3,0,17,0,03/04/2024 17:13:29,4.3,0,25,0,03/04/2024 17:14:15,4.3,0,21,0
03/04/2024 17:10:36,4.4,0,6,0,03/04/2024 17:11:13,4.4,0,8,0,03/04/2024 17:11:58,4.4,0,16,0,03/04/2024 17:12:43,4.4,0,17,0,03/04/2024 17:13:29,4.4,0,23,0,03/04/2024 17:14:15,4.4,0,21,0
