"Date and Time Run #1","Time (s) Run #1","Position (m) Run #1","Force (N) Run #1","Speed (mm/min) Run #1","Date and Time Run #2","Time (s) Run #2","Position (m) Run #2","Force (N) Run #2","Speed (mm/min) Run #2","Date and Time Run #3","Time (s) Run #3","Position (m) Run #3","Force (N) Run #3","Speed (mm/min) Run #3","Date and Time Run #4","Time (s) Run #4","Position (m) Run #4","Force (N) Run #4","Speed (mm/min) Run #4","Date and Time Run #5","Time (s) Run #5","Position (m) Run #5","Force (N) Run #5","Speed (mm/min) Run #5"
03/04/2024 05:17:03 pm,5.700,0.00000,-1,0.00,03/04/2024 05:17:45 pm,5.700,0.00000,7,0.00,03/04/2024 05:18:28 pm,5.700,0.00000,0,0.00,03/04/2024 05:19:15 pm,5.700,0.00000,13,0.00,03/04/2024 05:19:56 pm,5.700,0.00000,0,0.00
03/04/2024 05:17:03 pm,5.800,0.00000,0,0.00,03/04/2024 05:17:45 pm,5.800,0.00000,7,0.00,03/04/2024 05:18:28 pm,5.800,0.00000,0,0.00,03/04/2024 05:19:15 pm,5.800,0.00000,13,0.00,03/04/2024 05:19:56 pm,5.800,0.00000,0,0.00
03/04/2024 05:17:03 pm,5.900,0.00000,-1,0.00,03/04/2024 05:17:45 pm,5.900,0.00000,7,0.00,03/04/2024 05:18:28 pm,5.900,0.00000,0,0.00,03/04/2024 05:19:15 pm,5.900,0.00000,13,0.00,03/04/2024 05:19:56 pm,5.900,0.00000,0,0.00
03/04/2024 05:17:04 pm,6.000,0.00000,-1,0.00,03/04/2024 05:17:46 pm,6.000,0.00000,7,0.00,03/04/2024 05:18:29 pm,6.000,0.00000,0,0.00,03/04/2024 05:19:16 pm,6.000,0.00000,13,0.00,03/04/2024 05:19:57 pm,6.000,0.00000,0,0.00
03/04/2024 05:17:04 pm,6.100,0.00000,0,0.00,03/04/2024 05:17:46 pm,6.100,0.00000,7,0.00,03/04/2024 05:18:29 pm,6.100,0.00000,0,0.00,03/04/2024 05:19:16 pm,6.100,0.00000,13,0.00,03/04/2024 05:19:57 pm,6.100,0.00000,0,0.00
03/04/2024 05:17:04 pm,6.200,0.00000,-1,0.00,03/04/2024 05:17:46 pm,6.200,0.00000,7,0.00,03/04/2024 05:18:29 pm,6.200,0.00000,0,0.00,03/04/2024 05:19:16 pm,6.200,0.00000,13,0.00,03/04/2024 05:19:57 pm,6.200,0.00000,0,0.00
03/04/2024 05:17:04 pm,6.300,0.00000,-1,0.00,03/04/2024 05:17:46 pm,6.300,0.00000,7,0.00,03/04/2024 05:18:29 pm,6.300,0.00000,0,0.00,03/04/2024 05:19:16 pm,6.300,0.00000,13,0.00,03/04/2024 05:19:57 pm,6.300,0.00000,0,0.00
03/04/2024 05:17:04 pm,6.400,0.00000,-1,0.00,03/04/2024 05:17:46 pm,6.400,0.00000,7,0.00,03/04/2024 05:18:29 pm,6.400,0.00000,0,0.00,03/04/2024 05:19:16 pm,6.400,0.00000,13,0.00,03/04/2024 05:19:57 pm,6.400,0.00000,0,0.00
03/04/2024 05:17:04 pm,6.500,0.00000,0,0.00,03/04/2024 05:17:46 pm,6.500,0.00000,6,0.00,03/04/2024 05:18:29 pm,6.500,0.00000,1,0.00,03/04/2024 05:19:16 pm,6.500,0.00000,13,0.00,03/04/2024 05:19:57 pm,6.500,0.00000,0,0.00
03/04/2024 05:17:04 pm,6.600,0.00000,-1,0.00,03/04/2024 05:17:46 pm,6.600,0.00000,7,0.00,03/04/2024 05:18:29 pm,6.600,0.00000,0,0.00,03/04/2024 05:19:16 pm,6.600,0.00000,13,0.00,03/04/2024 05:19:57 pm,6.600,0.00000,0,0.00
03/04/2024 05:17:04 pm,6.700,0.00000,-1,0.00,03/04/2024 05:17:46 pm,6.700,0.00000,7,0.00,03/04/2024 05:18:29 pm,6.700,0.00000,0,0.00,03/04/2024 05:19:16 pm,6.700,0.00000,13,0.00,03/04/2024 05:19:57 pm,6.700,0.00000,0,0.00
03/04/2024 05:17:04 pm,6.800,0.00000,0,0.00,03/04/2024 05:17:46 pm,6.800,0.00000,7,0.00,03/04/2024 05:18:29 pm,6.800,0.00000,6,0.00,03/04/2024 05:19:16 pm,6.800,0.00000,13,0.00,03/04/2024 05:19:57 pm,6.800,0.00000,0,0.00
03/04/2024 05:17:04 pm,6.900,0.00000,-1,0.00,03/04/2024 05:17:46 pm,6.900,0.00000,7,0.00,03/04/2024 05:18:29 pm,6.900,0.00000,11,0.00,03/04/2024 05:19:16 pm,6.900,0.00000,13,0.00,03/04/2024 05:19:57 pm,6.900,0.00000,0,0.00
03/04/2024 05:17:05 pm,7.000,0.00000,-1,0.00,03/04/2024 05:17:47 pm,7.000,0.00000,6,0.00,03/04/2024 05:18:30 pm,7.000,0.00000,13,0.00,03/04/2024 05:19:17 pm,7.000,0.00000,13,0.00,03/04/2024 05:19:58 pm,7.000,0.00000,0,0.00
03/04/2024 05:17:05 pm,7.100,0.00000,-1,0.00,03/04/2024 05:17:47 pm,7.100,0.00000,7,0.00,03/04/2024 05:18:30 pm,7.100,0.00000,13,0.00,03/04/2024 05:19:17 pm,7.100,0.00000,13,0.00,03/04/2024 05:19:58 pm,7.100,0.00000,0,0.00
03/04/2024 05:17:05 pm,7.200,0.00000,0,0.00,03/04/2024 05:17:47 pm,7.200,0.00000,6,0.00,03/04/2024 05:18:30 pm,7.200,0.00000,13,0.00,03/04/2024 05:19:17 pm,7.200,0.00000,13,0.00,03/04/2024 05:19:58 pm,7.200,0.00000,0,0.00
03/04/2024 05:17:05 pm,7.300,0.00000,0,0.00,03/04/2024 05:17:47 pm,7.300,0.00000,7,0.00,03/04/2024 05:18:30 pm,7.300,0.00000,13,0.00,03/04/2024 05:19:17 pm,7.300,0.00000,13,0.00,03/04/2024 05:19:58 pm,7.300,0.00000,0,0.00
03/04/2024 05:17:05 pm,7.400,0.00000,0,0.00,03/04/2024 05:17:47 pm,7.400,0.00000,7,0.00,03/04/2024 05:18:30 pm,7.400,0.00000,13,0.00,03/04/2024 05:19:17 pm,7.400,0.00000,12,0.00,03/04/2024 05:19:58 pm,7.400,0.00000,0,0.00
03/04/2024 05:17:05 pm,7.500,0.00000,-1,0.00,03/04/2024 05:17:47 pm,7.500,0.00000,7,0.00,03/04/2024 05:18:30 pm,7.500,0.00000,13,0.00,03/04/2024 05:19:17 pm,7.500,0.00000,13,0.00,03/04/2024 05:19:58 pm,7.500,0.00000,0,0.00
03/04/2024 05:17:05 pm,7.600,0.00000,0,0.00,03/04/2024 05:17:47 pm,7.600,0.00000,6,0.00,03/04/2024 05:18:30 pm,7.600,0.00000,13,0.00,03/04/2024 05:19:17 pm,7.600,0.00000,13,0.00,03/04/2024 05:19:58 pm,7.600,0.00000,0,0.00
03/04/2024 05:17:05 pm,7.700,0.00000,0,0.00,03/04/2024 05:17:47 pm,7.700,0.00000,6,0.00,03/04/2024 05:18:30 pm,7.700,0.00000,13,0.00,03/04/2024 05:19:17 pm,7.700,0.00000,13,0.00,03/04/2024 05:19:58 pm,7.700,0.00000,0,0.00
03/04/2024 05:17:05 pm,7.800,0.00000,-1,0.00,03/04/2024 05:17:47 pm,7.800,0.00000,6,0.00,03/04/2024 05:18:30 pm,7.800,0.00000,13,0.00,03/04/2024 05:19:17 pm,7.800,0.00000,13,0.00,03/04/2024 05:19:58 pm,7.800,0.00000,0,0.00
03/04/2024 05:17:05 pm,7.900,0.00000,0,0.00,03/04/2024 05:17:47 pm,7.900,0.00000,6,0.00,03/04/2024 05:18:30 pm,7.900,0.00000,13,0.00,03/04/2024 05:19:17 pm,7.900,0.00000,13,0.00,03/04/2024 05:19:58 pm,7.900,0.00000,0,0.00
03/04/2024 05:17:06 pm,8.000,0.00000,0,0.00,03/04/2024 05:17:48 pm,8.000,0.00000,7,0.00,03/04/2024 05:18:31 pm,8.000,0.00000,13,0.00,03/04/2024 05:19:18 pm,8.000,0.00000,13,0.00,03/04/2024 05:19:59 pm,8.000,0.00000,0,0.00
